Invoice_ID,Invoice_Header,Invoice_Year,Invoice_Amount,Invoice_Vendor,Invoice_Due_Date,Invoice_Vendor_City
2018000009_2018_IT10,2018000009,2018,3.65,VND04404,2018-03-03,Dusseldorf
2018000010_2018_IT10,2018000010,2018,392.43,VND04404,2018-03-03,Dusseldorf
2018000011_2018_IT10,2018000011,2018,394.10,VND04404,2018-03-03,Dusseldorf
2018000012_2018_IT10,2018000012,2018,362.97,VND04404,2018-03-03,Dusseldorf
2018000013_2018_IT10,2018000013,2018,483.96,VND04404,2018-03-03,Dusseldorf
2018000016_2018_IT10,2018000016,2018,691.00,VND07187,2018-01-03,Dusseldorf
2018000017_2018_IT10,2018000017,2018,692.00,VND07187,2018-01-03,Dusseldorf
2018000018_2018_IT10,2018000018,2018,754.80,VND07187,2018-01-03,Dusseldorf
2018000019_2018_IT10,2018000019,2018,692.00,VND07187,2018-01-03,Dusseldorf
2018000021_2018_IT10,2018000021,2018,262.73,VND05088,2018-01-03,Beijing
2018000022_2018_IT10,2018000022,2018,241.97,VND05088,2018-01-03,Beijing
2018000023_2018_IT10,2018000023,2018,322.64,VND05088,2018-01-03,Beijing
2018000025_2018_IT10,2018000025,2018,261.62,VND05088,2018-01-03,Beijing
2018000026_2018_IT10,2018000026,2018,2.42,VND05088,2018-01-03,Beijing
2018000027_2018_IT10,2018000027,2018,260.10,VND05088,2018-01-03,Beijing
2018000028_2018_IT10,2018000028,2018,260.10,VND05088,2018-01-03,Beijing
2018000029_2018_IT10,2018000029,2018,260.10,VND05088,2018-01-03,Beijing
2018000030_2018_IT10,2018000030,2018,1.63,VND05088,2018-01-03,Beijing
2018000036_2018_IT10,2018000036,2018,763.05,VND04611,2018-02-02,
2018000065_2018_IT10,2018000065,2018,9849.14,VND05098,2018-02-28,
2018000115_2018_IT10,2018000115,2018,-403114.40,VND05602,2018-02-22,
2018000118_2018_IT10,2018000118,2018,-50630.00,VND07071,2018-04-20,Rome
2018000123_2018_IT10,2018000123,2018,650.00,VND05565,2018-01-05,Milan
2018000124_2018_IT10,2018000124,2018,631.88,VND04567,2018-01-09,Moscow
2018000127_2018_IT10,2018000127,2018,260.10,VND05088,2018-01-03,Beijing
2018000129_2018_IT10,2018000129,2018,-390.16,VND05088,2017-12-01,Beijing
2018000152_2018_IT10,2018000152,2018,530.88,VND05269,2018-03-31,
2018000153_2018_IT10,2018000153,2018,301.78,VND05269,2018-03-31,
2018000160_2018_IT10,2018000160,2018,1032.00,VND04064,2018-02-02,Dusseldorf
2018000161_2018_IT10,2018000161,2018,832.00,VND04064,2018-02-02,Dusseldorf
2018000165_2018_IT10,2018000165,2018,492.00,VND07179,2018-03-12,
2018000186_2018_IT10,2018000186,2018,1460.00,VND07461,2018-02-14,
2018000207_2018_IT10,2018000207,2018,940.00,VND06175,2018-04-11,
2018000221_2018_IT10,2018000221,2018,4496.54,VND05098,2018-02-28,
2018000235_2018_IT10,2018000235,2018,1197.55,VND06626,2018-03-31,
2018000236_2018_IT10,2018000236,2018,819.96,VND07940,2018-03-31,
2018000245_2018_IT10,2018000245,2018,2990.00,VND06927,2018-02-12,
2018000247_2018_IT10,2018000247,2018,761.00,VND05772,2018-02-12,
2018000249_2018_IT10,2018000249,2018,1457.80,VND06368,2018-02-12,
2018000265_2018_IT10,2018000265,2018,3387.70,VND07848,2018-03-10,Rome
2018000276_2018_IT10,2018000276,2018,2262.00,VND04702,2018-02-12,
2018000303_2018_IT10,2018000303,2018,1832.00,VND06511,2018-02-12,
2018000311_2018_IT10,2018000311,2018,35626.32,VND04707,2018-02-23,
2018000312_2018_IT10,2018000312,2018,6100.00,VND04707,2018-02-11,
2018000321_2018_IT10,2018000321,2018,1002.00,VND04467,2018-03-31,
2018000332_2018_IT10,2018000332,2018,6699.26,VND07512,2018-01-18,
2018000337_2018_IT10,2018000337,2018,798.90,VND06333,2018-02-12,
2018000338_2018_IT10,2018000338,2018,889.20,VND06333,2018-02-12,
2018000339_2018_IT10,2018000339,2018,540.00,VND07134,2018-02-15,
2018000340_2018_IT10,2018000340,2018,348.00,VND07134,2018-02-15,
2018000341_2018_IT10,2018000341,2018,1326.00,VND05798,2018-02-12,
2018000343_2018_IT10,2018000343,2018,3028.00,VND05824,2018-02-13,
2018000344_2018_IT10,2018000344,2018,2957.00,VND06617,2018-02-12,
2018000348_2018_IT10,2018000348,2018,24876.04,VND07350,2018-02-05,Dusseldorf
2018000352_2018_IT10,2018000352,2018,180.44,VND07617,2018-04-30,
2018000353_2018_IT10,2018000353,2018,44.41,VND07617,2018-04-30,
2018000355_2018_IT10,2018000355,2018,277.00,VND07697,2018-01-15,Berlin
2018000356_2018_IT10,2018000356,2018,513.13,VND07617,2018-04-30,
2018000368_2018_IT10,2018000368,2018,849.46,VND05269,2018-03-31,
2018000371_2018_IT10,2018000371,2018,2665.70,VND07883,2018-03-31,Moscow
2018000378_2018_IT10,2018000378,2018,329.40,VND07988,2018-02-02,Milan
2018000385_2018_IT10,2018000385,2018,1888.00,VND05774,2018-02-16,
2018000386_2018_IT10,2018000386,2018,1829.20,VND06755,2018-02-12,
2018000387_2018_IT10,2018000387,2018,267.00,VND06755,2018-02-12,
2018000388_2018_IT10,2018000388,2018,599.40,VND07078,2018-02-11,
2018000390_2018_IT10,2018000390,2018,2590.00,VND06673,2018-02-12,
2018000391_2018_IT10,2018000391,2018,640.00,VND05917,2018-02-10,
2018000392_2018_IT10,2018000392,2018,3920.00,VND06673,2018-02-12,
2018000393_2018_IT10,2018000393,2018,1049.20,VND04850,2018-03-29,
2018000396_2018_IT10,2018000396,2018,3724.00,VND04934,2018-02-15,
2018000397_2018_IT10,2018000397,2018,1246.00,VND06755,2018-02-12,
2018000442_2018_IT10,2018000442,2018,4502.00,VND04348,2018-02-28,
2018000444_2018_IT10,2018000444,2018,7532.00,VND04348,2018-02-28,
2018000445_2018_IT10,2018000445,2018,1390.00,VND04348,2018-02-28,
2018000449_2018_IT10,2018000449,2018,497.00,VND04348,2018-02-28,
2018000450_2018_IT10,2018000450,2018,11842.00,VND04348,2018-02-28,
2018000451_2018_IT10,2018000451,2018,379.42,VND06555,2018-01-31,
2018000452_2018_IT10,2018000452,2018,890.60,VND05624,2018-04-19,
2018000453_2018_IT10,2018000453,2018,1073.60,VND05624,2018-04-19,
2018000454_2018_IT10,2018000454,2018,1183.40,VND05624,2018-04-19,
2018000455_2018_IT10,2018000455,2018,793.00,VND05624,2018-04-19,
2018000456_2018_IT10,2018000456,2018,793.00,VND05624,2018-04-19,
2018000457_2018_IT10,2018000457,2018,2379.00,VND05624,2018-04-19,
2018000458_2018_IT10,2018000458,2018,793.00,VND05624,2018-04-19,
2018000459_2018_IT10,2018000459,2018,1037.00,VND05624,2018-03-27,
2018000460_2018_IT10,2018000460,2018,1037.00,VND05624,2018-03-27,
2018000461_2018_IT10,2018000461,2018,890.60,VND05624,2018-04-19,
2018000467_2018_IT10,2018000467,2018,2117.00,VND04348,2018-03-31,
2018000483_2018_IT10,2018000483,2018,901.20,VND07706,2018-03-17,
2018000485_2018_IT10,2018000485,2018,1137.30,VND05015,2018-02-12,
2018000504_2018_IT10,2018000504,2018,4148.00,VND07361,2018-02-19,
2018000537_2018_IT10,2018000537,2018,1952.00,VND04348,2018-03-31,
2018000538_2018_IT10,2018000538,2018,295.24,VND05624,2018-04-18,
2018000540_2018_IT10,2018000540,2018,2074.00,VND05624,2018-04-15,
2018000542_2018_IT10,2018000542,2018,164.70,VND07082,2018-01-13,
2018000543_2018_IT10,2018000543,2018,18.30,VND07082,2018-01-03,
2018000544_2018_IT10,2018000544,2018,91.50,VND07082,2018-01-05,
2018000545_2018_IT10,2018000545,2018,274.50,VND07082,2018-01-07,
2018000552_2018_IT10,2018000552,2018,6100.00,VND04816,2018-02-26,
2018000563_2018_IT10,2018000563,2018,1801.50,VND05780,2018-02-13,
2018000568_2018_IT10,2018000568,2018,18.67,VND07617,2018-04-30,
2018000572_2018_IT10,2018000572,2018,6380.60,VND04092,2018-01-30,
2018000573_2018_IT10,2018000573,2018,4819.00,VND04092,2018-01-30,
2018000595_2018_IT10,2018000595,2018,7137.00,VND05618,2018-03-31,
2018000600_2018_IT10,2018000600,2018,303.48,VND05390,2018-02-14,Berlin
2018000601_2018_IT10,2018000601,2018,213.50,VND06555,2018-02-22,
2018000625_2018_IT10,2018000625,2018,1000.00,VND06787,2018-02-06,
2018000627_2018_IT10,2018000627,2018,4002.00,VND04348,2018-03-31,
2018000628_2018_IT10,2018000628,2018,92.00,VND04348,2018-03-31,
2018000629_2018_IT10,2018000629,2018,182.00,VND04348,2018-03-31,
2018000630_2018_IT10,2018000630,2018,122.00,VND04348,2018-03-31,
2018000631_2018_IT10,2018000631,2018,122.00,VND04348,2018-03-31,
2018000632_2018_IT10,2018000632,2018,122.00,VND04348,2018-03-31,
2018000633_2018_IT10,2018000633,2018,122.00,VND04348,2018-03-31,
2018000634_2018_IT10,2018000634,2018,122.00,VND04348,2018-03-31,
2018000635_2018_IT10,2018000635,2018,152.00,VND04348,2018-03-31,
2018000636_2018_IT10,2018000636,2018,624.00,VND04348,2018-03-31,
2018000637_2018_IT10,2018000637,2018,1402.00,VND04348,2018-03-31,
2018000638_2018_IT10,2018000638,2018,312.00,VND04348,2018-03-31,
2018000639_2018_IT10,2018000639,2018,10370.00,VND07111,2018-03-29,
2018000640_2018_IT10,2018000640,2018,312.00,VND04348,2018-03-31,
2018000641_2018_IT10,2018000641,2018,2696.20,VND07111,2018-03-29,
2018000642_2018_IT10,2018000642,2018,242.00,VND04348,2018-03-31,
2018000643_2018_IT10,2018000643,2018,250.00,VND04348,2018-03-31,
2018000644_2018_IT10,2018000644,2018,2110.60,VND04681,2018-03-31,
2018000645_2018_IT10,2018000645,2018,1667.00,VND04348,2018-03-31,
2018000646_2018_IT10,2018000646,2018,754.98,VND06924,2018-01-31,
2018000647_2018_IT10,2018000647,2018,6192.00,VND04348,2018-03-31,
2018000648_2018_IT10,2018000648,2018,507.00,VND04348,2018-03-31,
2018000650_2018_IT10,2018000650,2018,507.00,VND04348,2018-03-31,
2018000651_2018_IT10,2018000651,2018,802.00,VND04348,2018-03-31,
2018000652_2018_IT10,2018000652,2018,992.00,VND04348,2018-03-31,
2018000653_2018_IT10,2018000653,2018,112.00,VND04348,2018-03-31,
2018000655_2018_IT10,2018000655,2018,312.00,VND04348,2018-03-31,
2018000656_2018_IT10,2018000656,2018,1102.00,VND04348,2018-03-31,
2018000657_2018_IT10,2018000657,2018,1102.00,VND04348,2018-03-31,
2018000658_2018_IT10,2018000658,2018,1037.00,VND04011,2018-01-12,
2018000659_2018_IT10,2018000659,2018,1742.00,VND04348,2018-03-31,
2018000660_2018_IT10,2018000660,2018,1742.00,VND04348,2018-03-31,
2018000661_2018_IT10,2018000661,2018,502.00,VND04348,2018-03-31,
2018000662_2018_IT10,2018000662,2018,1472.00,VND04348,2018-03-31,
2018000663_2018_IT10,2018000663,2018,1637.00,VND04348,2018-03-31,
2018000664_2018_IT10,2018000664,2018,1202.00,VND04348,2018-03-31,
2018000665_2018_IT10,2018000665,2018,992.00,VND04348,2018-03-31,
2018000666_2018_IT10,2018000666,2018,1929.00,VND04348,2018-03-31,
2018000673_2018_IT10,2018000673,2018,18546.44,VND06303,2018-02-15,Rome
2018000682_2018_IT10,2018000682,2018,11677.45,VND07775,2018-02-15,
2018000697_2018_IT10,2018000697,2018,3172.00,VND06080,2018-01-31,Rome
2018000706_2018_IT10,2018000706,2018,1262.14,VND06924,2018-02-01,
2018000707_2018_IT10,2018000707,2018,412.36,VND06924,2018-02-01,
2018000708_2018_IT10,2018000708,2018,950.00,VND06101,2018-03-09,Moscow
2018000709_2018_IT10,2018000709,2018,495.43,VND07161,2018-03-31,
2018000710_2018_IT10,2018000710,2018,906.12,VND06924,2018-02-01,
2018000711_2018_IT10,2018000711,2018,50.78,VND07161,2018-03-31,
2018000712_2018_IT10,2018000712,2018,73.91,VND07161,2018-03-31,
2018000713_2018_IT10,2018000713,2018,12.32,VND04980,2018-03-15,
